"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000271824",43.484191498864,2.48876713045811,1.27377376336949,1.95385334666858,0.0507185632494181,0.105012444495331
"ENSG00000248874",12.0610340119215,2.53537249541721,1.88407110102644,1.34568833099555,NA,NA
"ENSG00000158639",25.2509781091066,3.98629078481678,1.75189740359731,2.27541337559575,NA,NA
"ENSG00000113722",32.8863613847953,2.94359974658277,1.39610646630544,2.10843500665999,NA,NA
"ENSG00000182111",26.9102579225809,2.95253301372142,2.03211270867362,1.45293762551614,NA,NA
"ENSG00000223350",12.4645876516734,2.45135466935446,1.91628585074462,1.27922181776895,NA,NA
"ENSG00000169550",14.2660151468645,20.8070070761741,2.68385609046491,7.75265378426821,NA,NA
"ENSG00000260135",40.8070615932632,2.74595948613445,1.44819510284657,1.89612537753856,0.0579434676074583,0.114243148899811
"ENSG00000163751",31.5009268562556,2.09861357511743,1.40829786145125,1.49017734994982,0.136177610255536,0.20136901942042
"ENSG00000286404",20.3795378122712,3.94124264819558,1.56886885455827,2.51215558059204,0.0119996173503131,0.040191489438398
"ENSG00000064195",35.0801093704103,2.92352966381046,1.37439984884465,2.12713182868001,NA,NA
"ENSG00000171345",49.8792708012806,2.13022587031287,1.28041826419178,1.66369531729344,NA,NA
"ENSG00000287872",29.2405614573809,3.58070446056706,1.38684132974523,2.58191357855253,0.00982541857325624,0.0345755235869017
"ENSG00000267448",15.5782037118344,6.84728056146112,2.34369257972462,2.92157794955585,NA,NA
"ENSG00000224594",45.3423479592616,2.62181149491502,1.41168786510258,1.85721756184716,NA,NA
"ENSG00000288525",20.0348229918188,5.07870819020571,1.75691954013132,2.89068911478218,0.00384398173669087,0.0190826236214297
"ENSG00000259518",21.9047623464187,5.08610223315349,1.64774016118304,3.08671376286767,0.00202382373987354,0.0171300403772772
"ENSG00000172236",39.5854204425156,2.75986099989603,1.16590292143988,2.36714476749714,0.0179259194175442,0.0488569176282087
"ENSG00000214145",16.5075036278471,2.73682540605567,1.29291200548457,2.11679170310584,0.0342775298268769,0.0807555363717948
"ENSG00000143512",45.876858627666,2.08642113079642,1.24788628806673,1.67196414508952,0.0945313925445259,0.157477115784581
"ENSG00000197253",44.0304131545068,2.58999264115678,1.07047388667824,2.41948231842789,0.0155426163360148,0.0476846724831935
"ENSG00000250748",36.326735248337,3.61731247386442,1.64029271757467,2.20528472455389,NA,NA
"ENSG00000233560",27.6820323573512,3.28121332285949,1.42125369601294,2.30867531396,NA,NA
"ENSG00000253998",10.035695155184,4.45066289441291,2.15354721693671,2.06666603797232,NA,NA
